GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education,No certificate %,High (secondary) school %,Postsecondary Education %
5350065.02,65.02,6825,905,1505,4415,13.26,22.05,64.69
5350066.0,66.0,4750,215,900,3635,4.53,18.95,76.53
5350067.0,67.0,1000,10,80,915,1.0,8.0,91.5
5350068.0,68.0,1405,35,145,1220,2.49,10.32,86.83
5350069.0,69.0,2710,180,315,2215,6.64,11.62,81.73
5350070.0,70.0,1945,45,215,1690,2.31,11.05,86.89
5350071.0,71.0,1800,60,215,1525,3.33,11.94,84.72
5350072.01,72.01,2540,240,475,1825,9.45,18.7,71.85
5350072.02,72.02,1810,145,315,1350,8.01,17.4,74.59
5350073.0,73.0,1635,220,295,1125,13.46,18.04,68.81
5350074.0,74.0,2355,245,465,1655,10.4,19.75,70.28
5350075.0,75.0,2175,145,335,1695,6.67,15.4,77.93
5350076.0,76.0,2470,155,395,1915,6.28,15.99,77.53
5350077.0,77.0,2680,195,385,2105,7.28,14.37,78.54
5350078.0,78.0,3595,185,580,2830,5.15,16.13,78.72
5350079.0,79.0,4110,145,580,3385,3.53,14.11,82.36
5350080.01,80.01,2315,140,455,1725,6.05,19.65,74.51
5350080.02,80.02,2995,360,610,2025,12.02,20.37,67.61
5350081.0,81.0,1645,95,290,1260,5.78,17.63,76.6
5350082.0,82.0,1540,75,265,1205,4.87,17.21,78.25
5350083.0,83.0,2135,140,320,1675,6.56,14.99,78.45
5350084.0,84.0,2005,50,210,1745,2.49,10.47,87.03
5350085.0,85.0,2375,90,310,1965,3.79,13.05,82.74
5350086.0,86.0,1240,0,105,1140,0.0,8.47,91.94
5350087.0,87.0,2210,40,230,1945,1.81,10.41,88.01
5350088.0,88.0,1730,55,165,1515,3.18,9.54,87.57
5350089.0,89.0,2915,50,375,2495,1.72,12.86,85.59
5350090.0,90.0,2350,55,250,2050,2.34,10.64,87.23
5350091.01,91.01,3185,40,305,2845,1.26,9.58,89.32
5350091.02,91.02,2080,105,270,1710,5.05,12.98,82.21
5350092.0,92.0,4400,105,465,3820,2.39,10.57,86.82
5350093.0,93.0,3125,75,370,2685,2.4,11.84,85.92
5350094.0,94.0,3145,270,560,2315,8.59,17.81,73.61
5350095.0,95.0,1715,110,245,1360,6.41,14.29,79.3
5350096.01,96.01,970,135,205,625,13.92,21.13,64.43
5350096.02,96.02,2115,175,445,1490,8.27,21.04,70.45
5350097.01,97.01,2465,260,470,1735,10.55,19.07,70.39
5350097.03,97.03,1545,200,295,1050,12.94,19.09,67.96
5350097.04,97.04,3305,470,670,2165,14.22,20.27,65.51
5350098.0,98.0,4505,505,775,3225,11.21,17.2,71.59
5350099.0,99.0,4175,150,595,3430,3.59,14.25,82.16
5350100.0,100.0,1895,100,260,1535,5.28,13.72,81.0
5350101.0,101.0,2235,105,330,1800,4.7,14.77,80.54
5350102.02,102.02,3115,145,405,2565,4.65,13.0,82.34
5350102.03,102.03,2530,55,280,2195,2.17,11.07,86.76
5350102.04,102.04,440,0,55,375,0.0,12.5,85.23
5350102.05,102.05,435,0,65,365,0.0,14.94,83.91
5350103.0,103.0,3345,55,315,2975,1.64,9.42,88.94
5350104.0,104.0,3180,45,335,2795,1.42,10.53,87.89
5350105.0,105.0,2525,100,395,2030,3.96,15.64,80.4
5350106.0,106.0,2325,320,460,1550,13.76,19.78,66.67
5350107.0,107.0,2960,670,750,1545,22.64,25.34,52.2
5350108.0,108.0,3535,625,970,1945,17.68,27.44,55.02
5350109.0,109.0,3435,405,685,2350,11.79,19.94,68.41
5350110.0,110.0,2195,270,345,1575,12.3,15.72,71.75
5350111.0,111.0,1455,315,330,810,21.65,22.68,55.67
5350112.0,112.0,2845,400,585,1860,14.06,20.56,65.38
5350113.0,113.0,1495,85,295,1115,5.69,19.73,74.58
5350114.0,114.0,2685,150,450,2085,5.59,16.76,77.65
5350115.0,115.0,2545,315,560,1665,12.38,22.0,65.42
5350116.0,116.0,2335,55,325,1955,2.36,13.92,83.73
5350117.0,117.0,1555,45,185,1325,2.89,11.9,85.21
5350118.0,118.0,2025,40,220,1775,1.98,10.86,87.65
5350119.0,119.0,2620,50,330,2240,1.91,12.6,85.5
5350120.0,120.0,715,10,45,660,1.4,6.29,92.31
5350121.0,121.0,1555,30,140,1390,1.93,9.0,89.39
5350122.0,122.0,3535,60,340,3135,1.7,9.62,88.68
5350123.0,123.0,1690,80,230,1380,4.73,13.61,81.66
5350124.0,124.0,2845,80,335,2430,2.81,11.78,85.41
5350125.0,125.0,2030,10,120,1900,0.49,5.91,93.6
5350126.0,126.0,2245,40,225,1980,1.78,10.02,88.2
5350127.0,127.0,2845,45,290,2500,1.58,10.19,87.87
5350128.02,128.02,8505,140,850,7515,1.65,9.99,88.36
5350128.04,128.04,3085,75,385,2625,2.43,12.48,85.09
5350128.05,128.05,660,0,70,585,0.0,10.61,88.64
5350128.06,128.06,3560,40,385,3135,1.12,10.81,88.06
5350129.0,129.0,3280,45,355,2870,1.37,10.82,87.5
5350130.0,130.0,1720,30,205,1490,1.74,11.92,86.63
5350131.0,131.0,2590,80,285,2225,3.09,11.0,85.91
5350132.0,132.0,2790,65,325,2390,2.33,11.65,85.66
5350133.0,133.0,3895,175,715,3005,4.49,18.36,77.15
5350134.0,134.0,1495,25,110,1365,1.67,7.36,91.3
5350135.0,135.0,4210,80,420,3715,1.9,9.98,88.24
5350136.01,136.01,5560,165,600,4790,2.97,10.79,86.15
5350136.02,136.02,5795,150,645,5000,2.59,11.13,86.28
5350137.0,137.0,3955,75,430,3455,1.9,10.87,87.36
5350138.0,138.0,1495,15,130,1350,1.0,8.7,90.3
5350139.01,139.01,2290,35,215,2035,1.53,9.39,88.86
5350139.02,139.02,1260,35,110,1110,2.78,8.73,88.1
5350140.0,140.0,1150,10,115,1020,0.87,10.0,88.7
5350141.01,141.01,2480,30,200,2255,1.21,8.06,90.93
5350141.02,141.02,2335,10,210,2120,0.43,8.99,90.79
5350142.0,142.0,2900,30,260,2605,1.03,8.97,89.83
5350150.0,150.0,2185,50,235,1905,2.29,10.76,87.19
5350151.0,151.0,2055,250,485,1320,12.17,23.6,64.23
5350152.0,152.0,2540,115,395,2030,4.53,15.55,79.92
5350153.0,153.0,2680,445,775,1460,16.6,28.92,54.48
5350154.0,154.0,3380,470,925,1980,13.91,27.37,58.58
5350155.0,155.0,1745,395,545,810,22.64,31.23,46.42
5350156.01,156.01,3030,795,890,1345,26.24,29.37,44.39
5350156.02,156.02,1560,395,400,770,25.32,25.64,49.36
5350157.0,157.0,1480,300,405,775,20.27,27.36,52.36
5350158.0,158.0,1695,325,445,920,19.17,26.25,54.28
5350159.01,159.01,1925,640,485,800,33.25,25.19,41.56
5350159.02,159.02,2955,630,860,1470,21.32,29.1,49.75
5350160.0,160.0,1855,480,415,960,25.88,22.37,51.75
5350161.0,161.0,4125,855,940,2330,20.73,22.79,56.48
5350162.0,162.0,2705,440,655,1615,16.27,24.21,59.7
5350163.0,163.0,2505,235,525,1750,9.38,20.96,69.86
5350164.0,164.0,3470,275,545,2645,7.93,15.71,76.22
5350165.0,165.0,2585,65,410,2115,2.51,15.86,81.82
5350166.0,166.0,2105,30,265,1805,1.43,12.59,85.75
5350167.01,167.01,1205,20,105,1080,1.66,8.71,89.63
5350167.02,167.02,3500,105,575,2820,3.0,16.43,80.57
5350168.0,168.0,3220,305,705,2215,9.47,21.89,68.79
5350169.01,169.01,2110,230,470,1405,10.9,22.27,66.59
5350169.02,169.02,4730,320,935,3470,6.77,19.77,73.36
5350170.0,170.0,1960,400,465,1095,20.41,23.72,55.87
5350171.0,171.0,1945,440,680,820,22.62,34.96,42.16
5350172.0,172.0,1560,245,495,820,15.71,31.73,52.56
5350173.0,173.0,2110,385,605,1125,18.25,28.67,53.32
5350174.0,174.0,3930,735,1105,2090,18.7,28.12,53.18
5350175.01,175.01,3305,705,965,1635,21.33,29.2,49.47
5350175.02,175.02,5010,900,1570,2535,17.96,31.34,50.6
5350176.0,176.0,2435,245,630,1560,10.06,25.87,64.07
5350180.0,180.0,4010,445,860,2705,11.1,21.45,67.46
5350181.01,181.01,2700,115,455,2125,4.26,16.85,78.7
5350181.02,181.02,2035,195,445,1400,9.58,21.87,68.8
5350182.0,182.0,3260,160,520,2580,4.91,15.95,79.14
5350183.01,183.01,1395,90,210,1100,6.45,15.05,78.85
5350183.02,183.02,2280,110,340,1835,4.82,14.91,80.48
5350184.01,184.01,2785,215,470,2095,7.72,16.88,75.22
5350184.02,184.02,2155,115,475,1565,5.34,22.04,72.62
5350185.01,185.01,4210,345,905,2960,8.19,21.5,70.31
5350185.02,185.02,2475,185,495,1795,7.47,20.0,72.53
5350186.0,186.0,1215,0,155,1055,0.0,12.76,86.83
5350187.0,187.0,1985,115,325,1545,5.79,16.37,77.83
5350188.0,188.0,1000,40,180,780,4.0,18.0,78.0
5350189.0,189.0,2900,310,670,1920,10.69,23.1,66.21
5350190.01,190.01,4925,375,820,3730,7.61,16.65,75.74
5350190.02,190.02,2745,415,725,1605,15.12,26.41,58.47
5350191.0,191.0,2460,200,485,1780,8.13,19.72,72.36
5350192.0,192.0,440,50,110,280,11.36,25.0,63.64
5350193.0,193.0,1685,180,400,1105,10.68,23.74,65.58
5350194.01,194.01,3745,770,1020,1955,20.56,27.24,52.2
5350194.02,194.02,2275,290,585,1395,12.75,25.71,61.32
5350194.03,194.03,1410,130,370,910,9.22,26.24,64.54
5350194.04,194.04,3185,225,495,2465,7.06,15.54,77.39
5350195.01,195.01,2305,75,250,1980,3.25,10.85,85.9
5350195.02,195.02,1220,0,110,1105,0.0,9.02,90.57
5350196.01,196.01,1030,10,85,930,0.97,8.25,90.29
5350196.02,196.02,2890,30,285,2575,1.04,9.86,89.1
5350200.01,200.01,3395,425,690,2285,12.52,20.32,67.3
5350200.02,200.02,680,65,165,455,9.56,24.26,66.91
5350201.0,201.0,3395,210,430,2765,6.19,12.67,81.44
5350202.0,202.0,950,80,110,760,8.42,11.58,80.0
5350203.0,203.0,2250,210,420,1625,9.33,18.67,72.22
5350204.0,204.0,2550,180,575,1800,7.06,22.55,70.59
5350206.01,206.01,3285,200,590,2505,6.09,17.96,76.26
5350206.02,206.02,3845,370,750,2720,9.62,19.51,70.74
5350207.0,207.0,1605,115,435,1055,7.17,27.1,65.73
5350208.0,208.0,2545,325,650,1565,12.77,25.54,61.49
5350209.0,209.0,1610,140,390,1085,8.7,24.22,67.39
5350210.01,210.01,1745,115,345,1285,6.59,19.77,73.64
5350210.03,210.03,5800,90,670,5035,1.55,11.55,86.81
5350210.04,210.04,6775,170,1050,5550,2.51,15.5,81.92
5350211.0,211.0,3935,330,1035,2570,8.39,26.3,65.31
5350212.0,212.0,3225,205,640,2380,6.36,19.84,73.8
5350213.01,213.01,1405,20,245,1145,1.42,17.44,81.49
5350213.02,213.02,4225,140,605,3485,3.31,14.32,82.49
5350214.0,214.0,4550,180,670,3695,3.96,14.73,81.21
5350215.0,215.0,4020,290,650,3080,7.21,16.17,76.62
5350216.0,216.0,2825,35,405,2385,1.24,14.34,84.42
5350217.0,217.0,3710,290,855,2560,7.82,23.05,69.0
5350218.0,218.0,1380,10,110,1265,0.72,7.97,91.67
5350219.0,219.0,2365,100,320,1945,4.23,13.53,82.24
5350220.0,220.0,2210,145,470,1595,6.56,21.27,72.17
5350221.01,221.01,2970,135,515,2325,4.55,17.34,78.28
5350221.02,221.02,3140,345,715,2075,10.99,22.77,66.08
5350222.01,222.01,4100,205,755,3135,5.0,18.41,76.46
5350222.02,222.02,2545,205,515,1825,8.06,20.24,71.71
5350223.01,223.01,765,20,130,615,2.61,16.99,80.39
5350223.02,223.02,1175,20,215,940,1.7,18.3,80.0
5350224.0,224.0,885,50,95,740,5.65,10.73,83.62
5350225.01,225.01,2695,180,485,2030,6.68,18.0,75.32
5350225.02,225.02,7080,345,1140,5595,4.87,16.1,79.03
5350226.0,226.0,1420,0,110,1315,0.0,7.75,92.61
5350227.0,227.0,870,10,60,805,1.15,6.9,92.53
5350228.0,228.0,1410,30,125,1265,2.13,8.87,89.72
5350229.0,229.0,570,0,45,525,0.0,7.89,92.11
5350230.01,230.01,1300,35,190,1070,2.69,14.62,82.31
5350230.02,230.02,3515,315,805,2390,8.96,22.9,67.99
5350231.0,231.0,3175,115,525,2545,3.62,16.54,80.16
5350232.0,232.0,1780,35,230,1520,1.97,12.92,85.39
5350233.0,233.0,3000,110,465,2425,3.67,15.5,80.83
5350234.0,234.0,2365,105,390,1870,4.44,16.49,79.07
5350235.01,235.01,1505,70,305,1135,4.65,20.27,75.42
5350235.02,235.02,2690,220,660,1810,8.18,24.54,67.29
5350236.01,236.01,3745,280,880,2585,7.48,23.5,69.03
5350236.02,236.02,3105,160,560,2380,5.15,18.04,76.65
5350237.01,237.01,3335,485,760,2095,14.54,22.79,62.82
5350237.02,237.02,1660,145,375,1135,8.73,22.59,68.37
5350237.03,237.03,2955,305,750,1900,10.32,25.38,64.3
5350238.01,238.01,1715,55,290,1370,3.21,16.91,79.88
5350238.02,238.02,3040,390,835,1815,12.83,27.47,59.7
5350239.0,239.0,3385,345,805,2240,10.19,23.78,66.17
5350240.01,240.01,1690,65,270,1360,3.85,15.98,80.47
5350240.02,240.02,2865,190,630,2045,6.63,21.99,71.38
5350241.0,241.0,1500,130,370,1000,8.67,24.67,66.67
5350242.0,242.0,775,110,175,485,14.19,22.58,62.58
5350243.01,243.01,3140,800,915,1420,25.48,29.14,45.22
5350243.02,243.02,1970,330,505,1145,16.75,25.63,58.12
5350244.01,244.01,2040,225,600,1215,11.03,29.41,59.56
5350244.02,244.02,3000,555,1000,1440,18.5,33.33,48.0
5350245.0,245.0,3845,635,1150,2060,16.51,29.91,53.58
5350246.0,246.0,1875,190,535,1155,10.13,28.53,61.6
5350247.01,247.01,5185,495,1385,3295,9.55,26.71,63.55
5350247.02,247.02,4025,560,855,2610,13.91,21.24,64.84
5350248.02,248.02,2715,515,825,1375,18.97,30.39,50.64
5350248.03,248.03,1545,235,365,945,15.21,23.62,61.17
5350248.04,248.04,2660,310,625,1720,11.65,23.5,64.66
5350248.05,248.05,2170,325,580,1260,14.98,26.73,58.06
5350249.01,249.01,2335,380,710,1245,16.27,30.41,53.32
5350249.03,249.03,3030,450,935,1640,14.85,30.86,54.13
5350249.04,249.04,1410,195,335,880,13.83,23.76,62.41
5350249.05,249.05,2945,745,635,1560,25.3,21.56,52.97
5350250.01,250.01,2705,465,675,1560,17.19,24.95,57.67
5350250.02,250.02,2595,410,615,1575,15.8,23.7,60.69
5350250.04,250.04,3215,655,915,1650,20.37,28.46,51.32
5350250.05,250.05,3915,1155,1185,1570,29.5,30.27,40.1
5350260.01,260.01,3480,365,830,2285,10.49,23.85,65.66
5350260.04,260.04,2010,375,490,1145,18.66,24.38,56.97
5350260.05,260.05,2050,550,560,935,26.83,27.32,45.61
5350260.06,260.06,2670,210,580,1885,7.87,21.72,70.6
5350260.07,260.07,2015,160,385,1470,7.94,19.11,72.95
5350261.0,261.0,2625,285,580,1760,10.86,22.1,67.05
5350262.01,262.01,3290,340,695,2255,10.33,21.12,68.54
5350262.02,262.02,3365,345,830,2185,10.25,24.67,64.93
5350263.02,263.02,2040,60,315,1665,2.94,15.44,81.62
5350263.03,263.03,2730,140,470,2120,5.13,17.22,77.66
5350263.04,263.04,3245,165,545,2530,5.08,16.8,77.97
