REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,Total - Households by household size,With a parent that is a woman+,14.1.9,65,,55,,85000,,62000,,78000,,58800,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,Total - Households by household size,Other census family households,14.1.10,250,,220,,148000,,112000,,136000,,101000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,Total - Households by household size,Non-census family households,14.1.11,170,,140,,62000,,44800,,54800,,41200,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Total – Household type including census family structure,14.2.1,130,,130,,48400,,44000,,44000,,39200,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Census-family households,14.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Households consisting of only one census family without additional persons,14.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,"One couple, with or without children in their census family",14.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Without children,14.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,With children,14.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,One one-parent census family,14.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,With a parent that is a man+,14.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,With a parent that is a woman+,14.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Other census family households,14.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,1 person,Non-census family households,14.2.11,130,,130,,48400,,44000,,44000,,39200,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Total – Household type including census family structure,14.3.1,895,,785,,114000,,96000,,102000,,87000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Census-family households,14.3.2,850,,770,,114000,,97000,,102000,,87000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Households consisting of only one census family without additional persons,14.3.3,600,,545,,100000,,90000,,89000,,80000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,"One couple, with or without children in their census family",14.3.4,525,,480,,102000,,95000,,91000,,84000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Without children,14.3.5,240,,210,,86000,,79000,,78500,,73000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,With children,14.3.6,290,,265,,114000,,103000,,102000,,92000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,One one-parent census family,14.3.7,75,,65,,84000,,63200,,78000,,58000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,With a parent that is a man+,14.3.8,5,,15,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,With a parent that is a woman+,14.3.9,65,,55,,85000,,62000,,78000,,58800,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Other census family households,14.3.10,250,,220,,148000,,112000,,136000,,101000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 or more persons,Non-census family households,14.3.11,40,,15,,86000,,,x,83000,,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Total – Household type including census family structure,14.4.1,305,,260,,84000,,74500,,77500,,67500,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Census-family households,14.4.2,280,,250,,85000,,74500,,78000,,67500,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Households consisting of only one census family without additional persons,14.4.3,280,,250,,85000,,74500,,78000,,67500,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,"One couple, with or without children in their census family",14.4.4,240,,210,,86000,,79000,,78500,,73000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Without children,14.4.5,240,,210,,86000,,79000,,78500,,73000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,With children,14.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,One one-parent census family,14.4.7,45,,35,,83000,,59200,,75000,,52000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,With a parent that is a man+,14.4.8,0,,5,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,With a parent that is a woman+,14.4.9,40,,30,,83000,,60800,,76000,,53200,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Other census family households,14.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,2 persons,Non-census family households,14.4.11,20,,15,,84000,,,x,73500,,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Total – Household type including census family structure,14.5.1,155,,105,,106000,,89000,,95000,,78000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Census-family households,14.5.2,145,,105,,106000,,89000,,95000,,78000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Households consisting of only one census family without additional persons,14.5.3,130,,95,,107000,,88000,,97000,,78000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,"One couple, with or without children in their census family",14.5.4,110,,75,,118000,,90000,,102000,,80000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Without children,14.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,With children,14.5.6,110,,75,,118000,,90000,,102000,,80000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,One one-parent census family,14.5.7,20,,15,,85000,,,x,78500,,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,With a parent that is a man+,14.5.8,0,,5,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,With a parent that is a woman+,14.5.9,20,,15,,85000,,,x,78500,,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Other census family households,14.5.10,15,,15,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,3 persons,Non-census family households,14.5.11,5,,0,,,x,0,...,,x,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Total – Household type including census family structure,14.6.1,180,,175,,114000,,100000,,102000,,90000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Census-family households,14.6.2,180,,175,,114000,,100000,,103000,,90000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Households consisting of only one census family without additional persons,14.6.3,130,,140,,106000,,101000,,93000,,88000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,"One couple, with or without children in their census family",14.6.4,125,,130,,107000,,104000,,96000,,92000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Without children,14.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,With children,14.6.6,125,,130,,107000,,104000,,96000,,92000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,One one-parent census family,14.6.7,10,,10,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,With a parent that is a man+,14.6.8,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,With a parent that is a woman+,14.6.9,10,,5,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Other census family households,14.6.10,50,,40,,124000,,98000,,114000,,91000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,4 persons,Non-census family households,14.6.11,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Total – Household type including census family structure,14.7.1,250,,240,,147000,,115000,,136000,,104000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Census-family households,14.7.2,240,,240,,147000,,115000,,136000,,104000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Households consisting of only one census family without additional persons,14.7.3,60,,70,,116000,,114000,,110000,,96000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,"One couple, with or without children in their census family",14.7.4,55,,65,,116000,,116000,,110000,,100000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Without children,14.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,With children,14.7.6,55,,65,,116000,,116000,,110000,,100000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,One one-parent census family,14.7.7,0,,5,,,x,,x,,x,,x
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,With a parent that is a man+,14.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,With a parent that is a woman+,14.7.9,0,,0,,,x,0,...,,x,0,...
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Other census family households,14.7.10,180,,175,,154000,,115000,,143000,,107000,
2021,0008.06 - Abbotsford - Mission,2021S05079320008.06,5 or more persons,Non-census family households,14.7.11,5,,0,,,x,0,...,,x,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Total – Household type including census family structure,15.1.1,1950,,1935,,110000,,93000,,98000,,83000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Census-family households,15.1.2,1665,,1730,,119000,,98000,,108000,,88000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Households consisting of only one census family without additional persons,15.1.3,1080,,1140,,99000,,88000,,89000,,77500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,"One couple, with or without children in their census family",15.1.4,965,,1030,,103000,,92000,,92000,,82000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Without children,15.1.5,385,,420,,83000,,84000,,75500,,75500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,With children,15.1.6,585,,615,,117000,,97000,,104000,,86000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,One one-parent census family,15.1.7,115,,110,,66500,,54800,,60400,,50800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,With a parent that is a man+,15.1.8,10,,15,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,With a parent that is a woman+,15.1.9,100,,95,,67000,,53200,,60800,,49600,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Other census family households,15.1.10,585,,590,,148000,,115000,,135000,,105000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,Total - Households by household size,Non-census family households,15.1.11,285,,210,,46000,,40000,,42000,,35600,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Total – Household type including census family structure,15.2.1,210,,180,,41600,,38800,,37600,,34800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Census-family households,15.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Households consisting of only one census family without additional persons,15.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,"One couple, with or without children in their census family",15.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Without children,15.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,With children,15.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,One one-parent census family,15.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,With a parent that is a man+,15.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,With a parent that is a woman+,15.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Other census family households,15.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,1 person,Non-census family households,15.2.11,210,,180,,41600,,38800,,37600,,34800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Total – Household type including census family structure,15.3.1,1735,,1760,,117000,,98000,,106000,,88000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Census-family households,15.3.2,1665,,1730,,119000,,98000,,108000,,88000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Households consisting of only one census family without additional persons,15.3.3,1080,,1140,,99000,,88000,,89000,,77500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,"One couple, with or without children in their census family",15.3.4,965,,1030,,103000,,92000,,92000,,82000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Without children,15.3.5,385,,420,,83000,,84000,,75500,,75500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,With children,15.3.6,585,,615,,117000,,97000,,104000,,86000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,One one-parent census family,15.3.7,115,,110,,66500,,54800,,60400,,50800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,With a parent that is a man+,15.3.8,10,,15,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,With a parent that is a woman+,15.3.9,100,,95,,67000,,53200,,60800,,49600,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Other census family households,15.3.10,585,,590,,148000,,115000,,135000,,105000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 or more persons,Non-census family households,15.3.11,70,,30,,69000,,61600,,64500,,58000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Total – Household type including census family structure,15.4.1,495,,485,,78000,,81000,,71500,,70500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Census-family households,15.4.2,440,,465,,80000,,81000,,73500,,71000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Households consisting of only one census family without additional persons,15.4.3,440,,465,,80000,,81000,,73500,,71000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,"One couple, with or without children in their census family",15.4.4,385,,420,,83000,,84000,,75500,,75500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Without children,15.4.5,385,,420,,83000,,84000,,75500,,75500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,With children,15.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,One one-parent census family,15.4.7,60,,50,,56000,,52400,,52000,,46400,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,With a parent that is a man+,15.4.8,5,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,With a parent that is a woman+,15.4.9,50,,45,,55200,,50400,,49600,,44800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Other census family households,15.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,2 persons,Non-census family households,15.4.11,55,,15,,67000,,,x,62000,,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Total – Household type including census family structure,15.5.1,295,,300,,106000,,85000,,96000,,76500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Census-family households,15.5.2,285,,290,,108000,,90000,,96000,,77000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Households consisting of only one census family without additional persons,15.5.3,235,,255,,105000,,84000,,96000,,73500,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,"One couple, with or without children in their census family",15.5.4,190,,220,,112000,,91000,,98000,,77000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Without children,15.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,With children,15.5.6,190,,220,,112000,,91000,,98000,,77000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,One one-parent census family,15.5.7,45,,40,,89000,,54800,,82000,,50800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,With a parent that is a man+,15.5.8,5,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,With a parent that is a woman+,15.5.9,35,,30,,88000,,52400,,79500,,50800,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Other census family households,15.5.10,50,,35,,113000,,118000,,104000,,104000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,3 persons,Non-census family households,15.5.11,10,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Total – Household type including census family structure,15.6.1,365,,365,,116000,,95000,,104000,,86000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Census-family households,15.6.2,360,,355,,116000,,95000,,104000,,85000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Households consisting of only one census family without additional persons,15.6.3,290,,295,,114000,,95000,,102000,,85000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,"One couple, with or without children in their census family",15.6.4,285,,280,,115000,,97000,,102000,,87000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Without children,15.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,With children,15.6.6,285,,280,,115000,,97000,,102000,,87000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,One one-parent census family,15.6.7,10,,20,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,With a parent that is a man+,15.6.8,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,With a parent that is a woman+,15.6.9,10,,20,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Other census family households,15.6.10,75,,65,,122000,,92000,,111000,,86000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,4 persons,Non-census family households,15.6.11,0,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Total – Household type including census family structure,15.7.1,580,,620,,151000,,114000,,137000,,103000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Census-family households,15.7.2,575,,615,,151000,,114000,,136000,,103000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Households consisting of only one census family without additional persons,15.7.3,115,,120,,127000,,102000,,115000,,92000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,"One couple, with or without children in their census family",15.7.4,110,,120,,128000,,103000,,116000,,93000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Without children,15.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,With children,15.7.6,110,,120,,128000,,103000,,116000,,93000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,One one-parent census family,15.7.7,5,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,With a parent that is a man+,15.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,With a parent that is a woman+,15.7.9,5,,5,,,x,,x,,x,,x
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Other census family households,15.7.10,460,,490,,155000,,118000,,142000,,109000,
2021,0009.01 - Abbotsford - Mission,2021S05079320009.01,5 or more persons,Non-census family households,15.7.11,0,,0,,0,...,,x,0,...,,x
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Total – Household type including census family structure,16.1.1,1940,,1955,,94000,,83000,,84000,,73500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Census-family households,16.1.2,1495,,1555,,109000,,94000,,98000,,83000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Households consisting of only one census family without additional persons,16.1.3,1150,,1275,,99000,,86000,,88000,,76500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,"One couple, with or without children in their census family",16.1.4,990,,1075,,103000,,95000,,92000,,82000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Without children,16.1.5,450,,525,,81000,,81000,,74500,,72000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,With children,16.1.6,540,,555,,122000,,107000,,108000,,93000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,One one-parent census family,16.1.7,160,,200,,68000,,48800,,64000,,45200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,With a parent that is a man+,16.1.8,25,,35,,68000,,60400,,60400,,52800,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,With a parent that is a woman+,16.1.9,140,,160,,68000,,46800,,64000,,43200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Other census family households,16.1.10,345,,285,,141000,,122000,,128000,,109000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,Total - Households by household size,Non-census family households,16.1.11,440,,405,,45200,,42800,,41600,,38800,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Total – Household type including census family structure,16.2.1,360,,335,,40800,,40400,,37600,,35200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Census-family households,16.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Households consisting of only one census family without additional persons,16.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,"One couple, with or without children in their census family",16.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Without children,16.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,With children,16.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,One one-parent census family,16.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,With a parent that is a man+,16.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,With a parent that is a woman+,16.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Other census family households,16.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,1 person,Non-census family households,16.2.11,360,,335,,40800,,40400,,37600,,35200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Total – Household type including census family structure,16.3.1,1585,,1615,,108000,,93000,,97000,,82000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Census-family households,16.3.2,1495,,1555,,109000,,94000,,98000,,83000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Households consisting of only one census family without additional persons,16.3.3,1150,,1275,,99000,,86000,,88000,,76500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,"One couple, with or without children in their census family",16.3.4,990,,1075,,103000,,95000,,92000,,82000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Without children,16.3.5,450,,525,,81000,,81000,,74500,,72000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,With children,16.3.6,540,,555,,122000,,107000,,108000,,93000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,One one-parent census family,16.3.7,160,,200,,68000,,48800,,64000,,45200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,With a parent that is a man+,16.3.8,25,,35,,68000,,60400,,60400,,52800,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,With a parent that is a woman+,16.3.9,140,,160,,68000,,46800,,64000,,43200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Other census family households,16.3.10,345,,285,,141000,,122000,,128000,,109000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 or more persons,Non-census family households,16.3.11,85,,65,,90000,,64000,,81000,,59600,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Total – Household type including census family structure,16.4.1,600,,680,,78000,,72500,,71500,,66500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Census-family households,16.4.2,545,,630,,77000,,73000,,71500,,66500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Households consisting of only one census family without additional persons,16.4.3,545,,630,,77000,,73000,,71500,,66500,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,"One couple, with or without children in their census family",16.4.4,450,,525,,81000,,81000,,74500,,72000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Without children,16.4.5,450,,525,,81000,,81000,,74500,,72000,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,With children,16.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,One one-parent census family,16.4.7,95,,105,,66500,,49600,,62000,,46400,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,With a parent that is a man+,16.4.8,20,,25,,,x,54800,,,x,48400,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,With a parent that is a woman+,16.4.9,75,,80,,68000,,48800,,63200,,45200,
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Other census family households,16.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0009.02 - Abbotsford - Mission,2021S05079320009.02,2 persons,Non-census family households,16.4.11,55,,50,,82000,,71000,,73500,,63600,
